Gene Symbol,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6,,probe1,probe2,probe3,probe4,probe5,probe6
KIAA0882,0.1509492,0.2170035,0.0176209,0.0165938,0.5850846,0.3266447,,0.1393668,0.1974984,0.0127874,0.0160038,0.6697294,0.4024103,,0.1131961,0.1262884,0.0097902,0.0105433,0.4379833,0.2369356
ELAVL1,0.0657885,0.1374564,0.0098299,0.0216352,0.2724031,0.1794021,,0.0494223,0.107309,0.0043726,0.0099888,0.2305439,0.1644336,,0.0649749,0.0520491,0.0040393,0.0112812,0.2262002,0.1414906
KIAA0663,0.074907,0.0545655,0.0067537,0.0114438,0.318013,0.0836439,,0.0710087,0.0586268,0.0053297,0.0173541,0.3325871,0.1084792,,0.0654024,0.0313469,0.005056,0.0079451,0.2984097,0.0656191
ELAVL2,0.0870796,0.1592274,0.0168194,0.0148562,0.3250806,0.2714511,,0.078511,0.162819,0.015343,0.0064271,0.3370114,0.1957735,,0.0740459,0.0823324,0.007967,0.0046865,0.2273994,0.1290052
KIAA0494,0.1016625,0.0518545,0.0124328,0.0189818,0.4391645,0.1081603,,0.1098577,0.0557568,0.0077361,0.0221992,0.4017077,0.1308409,,0.0650919,0.0327322,0.0070531,0.0094869,0.3339532,0.0925095
ELAVL3,0.1054215,0.1434817,0.0111892,0.0242715,0.2574646,0.1209903,,0.1240197,0.0649984,0.0089808,0.0192833,0.3171227,0.1137773,,0.0993314,0.0803057,0.0034798,0.0168565,0.2619763,0.1158715
KHSRP,0.1978429,0.4362666,0.0328957,0.0197749,0.6009326,0.255387,,0.2712176,0.3605013,0.0026933,0.0197959,0.6267362,0.1949966,,0.2126147,0.1882485,0.0168991,0.0149341,0.7146762,0.1819604
ELMO1,0.1147916,0.1159754,0.0293795,0.0082148,0.2713386,0.1739451,,0.1035162,0.0677577,0.0148994,0.0097648,0.3111217,0.1183926,,0.088288,0.0458528,0.0110869,0.0101511,0.2175262,0.1506592
KHDRBS1,0.1244846,0.060542,0.0180742,0.0196273,0.4546136,0.0963423,,0.1387982,0.0332894,0.00916,0.0215501,0.3979059,0.0754736,,0.1562202,0.0375219,0.0098237,0.0095331,0.4062596,0.0818448
ENC1,0.220342,0.0838905,0.0204863,0.018417,0.36445,0.1027214,,0.2350752,0.0757483,0.0205295,0.0121717,0.3454721,0.1409072,,0.1882938,0.0798296,-0.0173543,0.0134496,0.3050012,0.1596593
